start,end,speaker_id,duration
0.8240937500000001,30.16971875,SPEAKER_01,29.345625000000002
32.41409375,42.70784375,SPEAKER_00,10.293750000000003
41.69534375,44.00721875,SPEAKER_01,2.3118750000000006
45.812843750000006,67.05846875,SPEAKER_00,21.245624999999997
67.22721875,82.75221875000001,SPEAKER_01,15.525000000000006
84.65909375000001,102.52971875,SPEAKER_00,17.87062499999999
103.47471875000001,117.49784375,SPEAKER_01,14.023124999999993
119.74221875,138.65909375,SPEAKER_00,18.916875000000005
139.33409375000002,168.91596875000002,SPEAKER_01,29.581874999999997
170.89034375,192.23721875,SPEAKER_00,21.34687500000001
192.32159375,193.58721875,SPEAKER_01,1.265625
192.79409375,193.45221875000001,SPEAKER_00,0.6581250000000125
193.95846875,216.55409375000002,SPEAKER_01,22.595625000000013
218.56221875000003,238.13721875000002,SPEAKER_00,19.57499999999999
238.13721875000002,238.62659375,SPEAKER_01,0.48937499999999545
238.15409375000002,239.33534375000002,SPEAKER_00,1.1812500000000057
239.87534375,240.56721875000002,SPEAKER_01,0.6918750000000102
240.56721875000002,240.78659375,SPEAKER_00,0.21937499999998522
241.09034375000002,251.28284375,SPEAKER_01,10.192499999999995
253.67909375000002,271.53284375000004,SPEAKER_00,17.85375000000002
272.14034375,304.50659375000004,SPEAKER_01,32.366250000000036
306.97034375000004,325.98846875000004,SPEAKER_00,19.018124999999998
326.34284375000004,335.43846875,SPEAKER_01,9.095624999999984
337.56471875,355.87409375000004,SPEAKER_00,18.309375000000045
356.26221875000005,363.95721875000004,SPEAKER_01,7.694999999999993
365.96534375000005,381.42284375,SPEAKER_00,15.457499999999982
382.18221875,383.70096875,SPEAKER_01,1.5187500000000114
385.70909375,397.15034375000005,SPEAKER_00,11.441250000000025
397.63971875000004,399.07409375000003,SPEAKER_01,1.4343749999999886
401.43659375000004,406.56659375000004,SPEAKER_00,5.1299999999999955
407.47784375000003,408.30471875,SPEAKER_01,0.8268749999999727
410.09346875,417.41721875,SPEAKER_00,7.323750000000018
417.75471875000005,421.19721875000005,SPEAKER_01,3.4424999999999955
423.64409375,429.31409375000004,SPEAKER_00,5.670000000000016
